mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,median_x,median_y,median_z,rms_x,rms_y,rms_y,label
3.240425466,4.003203305,4.029919754,5.114443214,7.670735734,4.635391158,3.969146,4.4852725,4.814588,6.032935545,8.618434982,6.124723332,clockwise
0.361121055,3.627748033,1.677208202,6.86729931,11.73549857,7.158714519,0.659229125,7.0694988,4.0392002,6.842412603,12.22723449,7.317632744,clockwise
2.569017719,3.611761242,4.56790099,5.972255849,9.171230992,5.425175455,1.26516905,6.02826415,5.5893769,6.473871606,9.814029875,7.071345196,clockwise
3.217349489,2.515680589,3.840773061,6.795109945,9.370638917,3.918752643,4.0266265,4.0625517,5.122348,7.487531083,9.657092409,5.473079001,clockwise
3.570279612,0.488524096,2.632030674,6.816500254,9.16681691,3.584926247,5.31754215,0.049097895,3.16501835,7.664654295,9.133941248,4.432918306,clockwise
3.215421483,-0.513120976,1.108666526,8.742756203,10.48893043,5.392166663,4.35833665,0.212557978,2.43872865,9.27417724,10.44896062,5.478489589,clockwise
4.199702722,1.132916078,3.745559065,5.866085775,8.031860737,1.990069144,4.0811133,2.27826235,3.6679723,7.190574084,8.071504065,4.236742164,clockwise
0.748850749,2.357705184,3.425021586,7.206709891,10.23861989,5.730757986,-1.44898685,7.6077795,3.73383545,7.209582389,10.45656816,6.651612142,clockwise
1.960742605,1.764075605,3.599331175,7.555783348,9.71995674,4.536240839,2.49980165,3.7003051,3.8793329,7.769393473,9.830805978,5.772944747,clockwise
2.649214951,0.893581795,3.447606674,5.943109052,9.250047616,4.168322903,2.98419425,2.2094055,4.27391235,6.479635762,9.246958176,5.393251194,clockwise
4.259674002,-0.903485183,2.505202414,4.496557852,8.071921616,3.414085395,3.84280885,-0.37362305,3.33147215,6.177512832,8.082118835,4.220836224,clockwise
3.71910611,2.144871739,4.418487741,4.810761754,8.911155574,3.135484667,3.94220205,3.0829889,5.00259715,6.06166187,9.122230073,5.408880233,clockwise
5.805575268,-0.680365187,6.416269289,3.424087966,4.745874426,2.100179212,6.52942205,-1.722019,6.75994255,6.731406896,4.770847683,6.747974273,clockwise
3.677911696,3.457498116,3.947806502,6.177502521,7.894535199,3.854297588,3.77335335,4.47689035,4.5768825,7.16288744,8.582234113,5.503837749,clockwise
3.012395683,1.114881614,2.657944778,8.189296663,11.25867389,5.671017438,2.00642755,4.6690905,5.03493,8.687258588,11.25758062,6.237267417,clockwise
2.705414059,1.544943271,2.744716337,7.142184216,10.91117199,4.392958331,0.54905823,8.8867195,4.16134645,7.60394323,10.96585551,5.161256614,clockwise
3.118950125,-0.065551689,3.010898764,5.855321253,10.89314031,5.773592186,1.99505125,0.36404297,4.658313,6.608312113,10.83873598,6.485871909,clockwise
0.890168927,3.768251952,3.376187173,7.64976228,9.569340693,5.094043831,-1.1244617,6.9210078,3.964356,7.663294006,10.23993561,6.090027057,clockwise
4.438462184,2.547378668,4.344673187,4.900209042,6.208062715,3.909946458,4.46790885,3.59672055,4.428391,6.593320463,6.681600132,5.831894168,clockwise
3.886110799,0.17603399,2.672901683,6.725362563,10.46521879,3.834463341,3.0955628,3.83502495,3.0003607,7.73822032,10.41424909,4.658377553,clockwise
0.733582517,3.134924875,0.616382234,7.674845596,8.469058882,4.410185639,1.08494382,7.1353619,1.15439945,7.671529553,8.990854394,4.431158658,clockwise
0.697202206,1.28152705,-0.425068084,8.220043341,11.66702475,5.658950584,-0.293988645,5.85163135,0.50235535,8.208502441,11.67906603,5.646606713,clockwise
0.89128257,2.870814126,2.068159251,8.873191866,8.95537509,5.049848604,-2.7255323,6.21926685,0.95980405,8.873589081,9.36153456,5.433529599,clockwise
3.659015092,1.529231954,2.754272473,5.841518605,7.843744769,3.497549082,3.16681455,3.0692176,3.6925214,6.868078163,7.952838427,4.438078181,clockwise
5.138035383,-2.044652123,1.570581929,4.999656316,7.454648767,3.619446001,5.06606515,-2.14713495,1.4394067,7.151643535,7.693937397,3.928881909,clockwise
