mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,label
4.630387109,-1.096356148,3.647866248,7.378885849,9.668463873,5.063676041,clockwise
3.240425466,4.003203305,4.029919754,5.114443214,7.670735734,4.635391158,clockwise
0.361121055,3.627748033,1.677208202,6.86729931,11.73549857,7.158714519,clockwise
2.569017719,3.611761242,4.56790099,5.972255849,9.171230992,5.425175455,clockwise
3.217349489,2.515680589,3.840773061,6.795109945,9.370638917,3.918752643,clockwise
3.570279612,0.488524096,2.632030674,6.816500254,9.16681691,3.584926247,clockwise
3.215421483,-0.513120976,1.108666526,8.742756203,10.48893043,5.392166663,clockwise
4.199702722,1.132916078,3.745559065,5.866085775,8.031860737,1.990069144,clockwise
0.748850749,2.357705184,3.425021586,7.206709891,10.23861989,5.730757986,clockwise
1.960742605,1.764075605,3.599331175,7.555783348,9.71995674,4.536240839,clockwise
2.649214951,0.893581795,3.447606674,5.943109052,9.250047616,4.168322903,clockwise
4.259674002,-0.903485183,2.505202414,4.496557852,8.071921616,3.414085395,clockwise
3.71910611,2.144871739,4.418487741,4.810761754,8.911155574,3.135484667,clockwise
5.805575268,-0.680365187,6.416269289,3.424087966,4.745874426,2.100179212,clockwise
3.677911696,3.457498116,3.947806502,6.177502521,7.894535199,3.854297588,clockwise
3.012395683,1.114881614,2.657944778,8.189296663,11.25867389,5.671017438,clockwise
2.705414059,1.544943271,2.744716337,7.142184216,10.91117199,4.392958331,clockwise
3.118950125,-0.065551689,3.010898764,5.855321253,10.89314031,5.773592186,clockwise
0.890168927,3.768251952,3.376187173,7.64976228,9.569340693,5.094043831,clockwise
4.438462184,2.547378668,4.344673187,4.900209042,6.208062715,3.909946458,clockwise
3.886110799,0.17603399,2.672901683,6.725362563,10.46521879,3.834463341,clockwise
0.733582517,3.134924875,0.616382234,7.674845596,8.469058882,4.410185639,clockwise
0.697202206,1.28152705,-0.425068084,8.220043341,11.66702475,5.658950584,clockwise
0.89128257,2.870814126,2.068159251,8.873191866,8.95537509,5.049848604,clockwise
3.659015092,1.529231954,2.754272473,5.841518605,7.843744769,3.497549082,clockwise
5.138035383,-2.044652123,1.570581929,4.999656316,7.454648767,3.619446001,clockwise
4.296916488,1.489582443,0.388939212,5.86987735,8.405370551,3.677373808,clockwise
0.304311211,4.35492393,0.884013691,4.672472862,8.209598854,4.923155902,clockwise
1.871815529,2.069859666,1.734628834,7.565140358,9.777808198,5.788400888,clockwise
3.306180768,0.940560084,2.448703884,6.314501478,8.856289082,3.697037638,clockwise
4.080574401,-0.356929723,3.015940299,5.946479899,8.239912591,3.611544078,clockwise
3.391754805,0.903006195,3.646764518,4.870827307,8.875428749,3.169151831,clockwise
1.915824005,3.812895039,3.471041913,5.102516891,7.950977503,3.906785886,clockwise
1.078872495,2.492808196,2.769612608,6.691367686,9.536521956,6.394266633,clockwise
2.26774814,0.768789267,0.533538496,6.803298029,10.07876605,4.914245005,clockwise
3.4872203,-2.312870371,2.521787898,4.620592782,8.430972003,5.659751802,clockwise
1.323775158,2.054447751,2.555210402,5.346183286,9.596956863,3.425522348,clockwise
1.009776152,3.727656288,2.482353892,3.874603503,8.201676814,3.443545272,clockwise
-4.41266783,0.795302171,0.944607657,5.428329914,7.930105257,7.012545943,clockwise
-3.49974623,1.46932057,-0.876265739,7.072625527,9.043986678,7.242023202,clockwise
-1.951641549,2.080912708,-1.254511205,8.127086022,10.60692532,8.206468168,clockwise
