mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,label
4.739276595,1.569192859,2.88522014,3.095378919,7.961513543,3.068309773,counterclockwise
4.314939023,1.486373109,3.27894936,3.298349967,7.98709193,4.224088045,counterclockwise
4.923992493,-0.154466796,3.191315628,5.216545818,8.037745191,3.401670907,counterclockwise
5.130682721,0.649038263,0.655097717,6.394159874,8.661748453,5.448157845,counterclockwise
5.519681765,0.675838553,0.635410648,6.935080657,8.688366749,5.614635187,counterclockwise
6.022228717,-0.526904228,0.995226426,5.144705611,7.926989112,4.940170832,counterclockwise
6.176599729,1.015787644,2.727795521,4.235174792,6.499616031,2.939561077,counterclockwise
3.922203755,1.372585661,3.138960471,6.224464853,9.60622723,4.429922924,counterclockwise
5.279784628,1.543554142,-0.251129759,6.54616275,8.534449288,6.117177262,counterclockwise
6.540019983,0.362605946,0.546028528,4.775984844,7.456166903,5.345551054,counterclockwise
5.682998181,-0.913436497,1.419695747,5.708895145,9.173544477,4.786231199,counterclockwise
5.681189956,0.106051457,1.243577947,5.132586261,8.185402658,5.083016965,counterclockwise
3.275189231,3.782789684,4.277205521,4.522718407,9.11018267,3.323989322,counterclockwise
3.942393732,1.89680757,3.466383615,5.711929828,9.104965845,5.477613744,counterclockwise
7.013108134,-1.789498725,2.957897019,2.390783141,6.212433729,4.662801092,counterclockwise
5.721917204,-2.328869062,1.676286162,4.185075796,6.885449321,4.623251346,counterclockwise
5.896717682,-0.601054127,3.650812093,3.340970945,6.53850912,4.525260024,counterclockwise
2.915936298,2.255629388,4.751610951,7.326224736,10.0839085,3.350966247,counterclockwise
5.66813706,-0.156945659,1.172853019,5.53074663,9.243528191,5.640607411,counterclockwise
5.808832476,-0.3127656,3.294696673,4.277947134,8.54937673,4.226005541,counterclockwise
6.238319352,-0.695573552,2.830493982,3.888300792,7.276750024,3.938441045,counterclockwise
6.356800961,-1.29516674,2.96053154,4.736400786,7.419283529,4.367625468,counterclockwise
4.094549375,1.596388237,1.501701138,6.75370373,10.53923891,7.503036114,counterclockwise
5.760608794,0.724505401,1.86331321,5.040624782,8.290654926,5.223420789,counterclockwise
5.971238712,0.634883758,2.004427796,4.64721477,7.990458439,5.183310713,counterclockwise
6.24030721,0.454179563,3.099203192,3.559440482,7.175892619,3.897313805,counterclockwise
6.246941414,1.003141942,5.034917799,1.682403019,6.049061188,2.813829214,counterclockwise
3.394437248,1.438592424,5.435472897,7.050665653,9.400503574,3.520883888,counterclockwise
5.784020073,0.614418374,0.399010274,7.99229165,9.065421314,6.103853231,counterclockwise
6.079290056,-1.109923945,0.44080335,6.436198162,9.267072533,5.983354328,counterclockwise
6.555407942,-1.322134582,2.276454107,5.008878734,7.148512941,3.80229513,counterclockwise
7.140343568,-0.943230536,2.71856271,3.802118725,5.368798481,4.934815732,counterclockwise
4.820084586,2.014223397,2.09548643,4.80872191,8.093807097,5.449246231,counterclockwise
5.9606528,-0.784728156,1.782637022,5.277145315,7.801792052,5.2326004,counterclockwise
5.55861284,-0.418362017,0.392423952,6.048970862,9.016003432,6.614289539,counterclockwise
4.478363216,0.055360862,1.504072257,5.582575664,8.920359813,5.967395505,counterclockwise
5.626930733,-0.048822419,2.223176908,4.759796881,8.117041701,4.097532929,counterclockwise
4.548154059,1.892795926,2.126789331,5.605420886,9.151007461,5.798894433,counterclockwise
5.775505757,-0.677790492,0.712769792,4.653669407,8.237661169,5.51619956,counterclockwise
6.285992201,-1.265384635,1.857744821,3.777412518,7.283337303,5.091942168,counterclockwise
5.977465794,-0.669575592,1.529459464,3.060936847,6.261066581,5.266138912,counterclockwise
4.816563896,-0.32937507,2.733136414,5.361833496,8.853431407,4.230364502,counterclockwise
3.561980796,1.995482382,1.987483012,7.449293999,9.133355511,7.932621541,counterclockwise
4.168579378,0.069096278,-1.251373744,6.329962798,9.519597127,7.299940495,counterclockwise
4.86563783,-0.225048031,2.203968826,5.449181249,9.421476988,5.599475633,counterclockwise
6.556162391,-1.757213876,3.615341859,1.525996785,5.429516324,3.607730118,counterclockwise
6.43548935,-1.662478806,2.524590083,3.005107654,7.581088092,4.308042443,counterclockwise
-3.981097254,3.21320608,5.098302013,3.065082963,8.086763416,5.571958336,counterclockwise
-5.100625182,-1.102631063,4.062216564,3.417152934,8.587386186,3.268817303,counterclockwise
-5.08096208,-2.493239319,4.19479289,2.264037693,7.632771209,3.262345612,counterclockwise
-5.366831617,-1.369975107,5.325505505,2.228175717,7.122475573,4.369211601,counterclockwise
-4.20830079,2.531882923,5.104074029,2.49135362,6.920467998,4.299785174,counterclockwise
-2.824219017,3.577608313,6.382751018,2.319563297,6.848277823,4.637184328,counterclockwise
-4.294988534,0.499565158,5.356461184,2.093650708,8.495948414,4.925443356,counterclockwise
