mean_x,mean_y,mean_z,std_dev_x,std_dev_y,std_dev_z,median_x,median_y,median_z,rms_x,rms_y,rms_y,label
4.611526286,-1.230620877,-4.032171073,4.133157483,6.615435062,5.797794249,6.27794505,-3.2320789,-4.60682,6.178861995,6.696325036,7.038229716,counterclockwise
4.163478007,0.753437186,-0.461424522,4.752712017,8.897945978,6.395884523,5.82528635,0.82209045,1.52023865,6.300550604,8.885346127,6.380531172,counterclockwise
3.881572239,0.303484863,-2.952663925,5.958866578,9.106190443,6.626272903,5.945636,-4.100872,-2.81354925,7.086579784,9.065626311,7.224032248,counterclockwise
4.334434481,1.033798203,-1.185594558,5.28899187,9.495630436,6.750982324,6.185138,-4.38827445,-1.49988105,6.81769924,9.504423503,6.820970545,counterclockwise
4.30629303,1.952731274,1.311536658,3.704369174,8.196067914,5.752962246,6.1647802,1.15499818,2.9560529,5.668270206,8.385519268,5.872455812,counterclockwise
4.943739434,1.673962936,3.346608697,2.028555852,7.504890803,3.828730671,5.8809705,1.55317015,4.8660807,5.339892138,7.652601128,5.070737277,counterclockwise
3.360607592,1.140496361,-0.135929345,3.981447803,9.305940677,4.610046374,1.73339535,-3.21830745,0.370629285,5.194910079,9.329268916,4.58895185,counterclockwise
4.135959182,0.384137225,-1.667089253,4.670669957,10.1547158,5.56832413,5.732479,-5.12294675,-0.72569093,6.221186754,10.11111428,5.785789303,counterclockwise
4.52861071,2.075452025,0.15790366,4.618792006,7.982648873,6.478549019,6.11628115,2.3435266,3.1356794,6.451993658,8.209321367,6.448008606,counterclockwise
4.698944476,2.530637504,3.105777496,3.171341067,7.052466604,3.065622859,6.43002865,2.83570315,4.2583447,5.660115662,7.459493182,4.353150231,counterclockwise
6.14257845,-2.363896261,0.223431355,2.4095712,6.413360888,4.754467951,6.4635588,-6.3689557,0.60953248,6.593879211,6.804990187,4.735909355,counterclockwise
3.875057808,1.426389837,-0.780752423,4.802649558,8.71700793,5.71524364,4.95888815,-1.14122675,-0.35985168,6.152305371,8.789820985,5.739942866,counterclockwise
